key,english,translation,description
"homeTaste","Taste","","Taste health indicator"
"homeSmell","Smell","","Smell health indicator"
"homeCirculation","Circulation","","Circulation health indicator"
"homeLungs","Lungs","","Lungs health indicator"
"homeHeart","Heart","","Heart health indicator"
"homeMinutesLifeGained","minutes of life
gained","","Minutes of life gained label"
"homeLungCapacity","lung
capacity","","Lung capacity label"
"homeNextMilestone","Next Milestone","","Next milestone title"
"homeNextMilestoneDescription","In {days} days: Blood flow improves","","Next milestone description"
"homeRecentAchievements","Recent Achievements","","Recent achievements section title"
"homeSeeAll","See all","","See all button"
"homeFirstDay","First Day","","First day achievement title"
"homeFirstDayDescription","You've gone 24 hours without smoking!","","First day achievement description"
"homeOvercoming","Overcoming","","Overcoming achievement title"
"homeOvercomingDescription","Nicotine levels eliminated from body","","Overcoming achievement description"
"homePersistence","Persistence","","Persistence achievement title"
"homePersistenceDescription","A whole week without cigarettes!","","Persistence achievement description"
"homeTodayStats","Today's Statistics","","Today's statistics section title"
"homeCravingsResisted","Cravings
Resisted","","Cravings resisted label"
"homeMinutesGainedToday","Minutes of Life
Gained Today","","Minutes gained today label"
"achievementCategoryAll","All","","All achievements category"
"achievementCategoryHealth","Health","","Health achievements category"
"achievementCategoryTime","Time","","Time achievements category"
"achievementCategorySavings","Savings","","Savings achievements category"
"achievementCategoryHabits","Habits","","Habits achievements category"
"achievementUnlocked","Unlocked!","","Unlocked achievements label"
"achievementInProgress","In progress","","In progress achievements label"
"achievementCompleted","Completed","","Completed achievements percentage"
"achievementCurrentProgress","Your Current Progress","","Current progress section title"
"achievementLevel","Level {level}","","Achievement level"
"achievementDaysWithoutSmoking","{days} days without smoking","","Days without smoking on achievements screen"
"achievementNextLevel","Next level: {time}","","Next achievement level"
"achievementBenefitCO2","Normal CO2","","CO2 benefit label"
"achievementBenefitTaste","Improved Taste","","Taste benefit label"
"achievementBenefitCirculation","Circulation +15%","","Circulation benefit label"
"achievementFirstDay","First Day","","First day achievement"
"achievementFirstDayDescription","Complete 24 hours without smoking","","First day achievement description"
"achievementOneWeek","One Week","","One week achievement"
"achievementOneWeekDescription","One week without smoking!","","One week achievement description"
"achievementImprovedCirculation","Improved Circulation","","Improved circulation achievement"
"achievementImprovedCirculationDescription","Oxygen levels normalized","","Improved circulation achievement description"
"achievementInitialSavings","Initial Savings","","Initial savings achievement"
"achievementInitialSavingsDescription","Save the equivalent of 1 pack of cigarettes","","Initial savings achievement description"
"achievementTwoWeeks","Two Weeks","","Two weeks achievement"
"achievementTwoWeeksDescription","Two complete weeks without smoking!","","Two weeks achievement description"
"achievementSubstantialSavings","Substantial Savings","","Substantial savings achievement"
"achievementSubstantialSavingsDescription","Save the equivalent of 10 packs of cigarettes","","Substantial savings achievement description"
"achievementCleanBreathing","Clean Breathing","","Clean breathing achievement"
"achievementCleanBreathingDescription","Lung capacity increased by 30%","","Clean breathing achievement description"
"achievementOneMonth","One Month","","One month achievement"
"achievementOneMonthDescription","A whole month without smoking!","","One month achievement description"
"achievementNewHabitExercise","New Habit: Exercise","","New exercise habit achievement"
"achievementNewHabitExerciseDescription","Record 5 days of exercise","","New exercise habit achievement description"
"percentCompleted","{percent}% completed","","Percentage completed"
"appName","NicotinaAI","","Name of the application"
"loginToContinue","Log in to continue","","Login screen subtitle"
"emailHint","example@email.com","","Example text for email field"
"emailRequired","Please enter your email","","Error message when email is empty"
"emailInvalid","Please enter a valid email","","Error message when email is invalid"
"passwordRequired","Please enter your password","","Error message when password is empty"
"settings","Settings","","Settings screen title"
"home","Home","","Location option: Home"
"achievements","Achievements","","Achievements screen title"
"profile","Profile","","User profile section title"
"editProfile","Edit Profile","","Button to edit profile"
"appSettings","App Settings","","App settings section title"
"notifications","Notifications","","Item to manage notifications"
"manageNotifications","Manage notifications","","Description of notifications item"
"language","Language","","Item to change language"
"changeLanguage","Change the language of the app","","Description of language item"
"theme","Theme","","Item to change theme"
"dark","Dark","","Dark theme option"
"light","Light","","Light theme option"
"system","System","","System theme option"
"habitTracking","Habit Tracking","","Habit tracking section title"
"cigarettesPerDay","Cigarettes per day before quitting","","Item to configure cigarettes per day"
"configureHabits","Configure your previous habits","","Description of cigarettes per day item"
"packPrice","Pack price","","Item to configure pack price"
"setPriceForCalculations","Set the price for savings calculations","","Description of pack price item"
"startDate","Start date","","Item to configure start date"
"whenYouQuitSmoking","When you quit smoking","","Description of start date item"
"account","Account","","Account section title"
"resetPassword","Reset password","","Item to reset password"
"changePassword","Change your access password","","Description of reset password item"
"deleteAccount","Delete account","","Item to delete account"
"permanentlyRemoveAccount","Permanently remove your account","","Description of delete account item"
"deleteAccountTitle","Delete Account","","Title of delete account dialog"
"deleteAccountConfirmation","Are you sure you want to delete your account? This action is irreversible and all your data will be lost.","","Delete account confirmation message"
"logout","Logout","","Item to logout"
"logoutFromAccount","Disconnect from your account","","Description of logout item"
"logoutTitle","Logout","","Title of logout dialog"
"logoutConfirmation","Are you sure you want to logout from your account?","","Logout confirmation message"
"about","About","","About section title"
"privacyPolicy","Privacy Policy","","Item for privacy policy"
"readPrivacyPolicy","Read our privacy policy","","Description of privacy policy item"
"termsOfUse","Terms of Use","","Item for terms of use"
"viewTermsOfUse","View the app's terms of use","","Description of terms of use item"
"aboutApp","About the App","","Item for about the app"
"appInfo","Version and app information","","Description of about the app item"
"version","Version {version}","","App version"
"next","Next","","Next button"
"back","Back","","Back button"
"finish","Finish","","Finish button"
"cigarettesPerDayQuestion","How many cigarettes do you smoke per day?","","Question about number of cigarettes per day"
"cigarettesPerDaySubtitle","This helps us understand your consumption level","","Subtitle for cigarettes per day question"
"exactNumber","Exact number: ","","Label for exact number of cigarettes"
"selectConsumptionLevel","Or select your consumption level:","","Instruction to select consumption level"
"low","Low","","Low consumption level"
"moderate","Moderate","","Intensity level: Moderate"
"high","High","","High consumption level"
"veryHigh","Very High","","Very high consumption level"
"upTo5","Up to 5 cigarettes per day","","Low consumption description"
"sixTo15","6 to 15 cigarettes per day","","Moderate consumption description"
"sixteenTo25","16 to 25 cigarettes per day","","High consumption description"
"moreThan25","More than 25 cigarettes per day","","Very high consumption description"
"selectConsumptionLevelError","Please select your consumption level","","Error message for consumption level selection"
"welcomeToNicotinaAI","Welcome to NicotinaAI","","Title of the introduction screen"
"personalAssistant","Your personal assistant to quit smoking","","Subtitle of the introduction screen"
"start","Start","","Start button text"
"breatheFreedom","BREATHE FREEDOM. YOUR NEW LIFE STARTS NOW.","","Main slogan on introduction screen"
"personalizeExperience","Let's personalize your experience to help you achieve your goals of quitting smoking. Answer a few questions to get started.","","Explanation text on introduction screen"
"cigarettesPerPackQuestion","How many cigarettes come in a pack?","","Question about number of cigarettes per pack"
"selectStandardAmount","Select the standard amount for your cigarette packs","","Subtitle for cigarettes per pack question"
"packSizesInfo","Cigarette packs typically come with 10 or 20 units. Select the amount that corresponds to the packs you buy.","","Information about standard cigarette pack sizes"
"tenCigarettes","10 cigarettes","","Option for 10 cigarettes pack"
"twentyCigarettes","20 cigarettes","","Option for 20 cigarettes pack"
"smallPack","Small/compact pack","","Description for small pack"
"standardPack","Standard/traditional pack","","Description for standard pack"
"otherQuantity","Other quantity","","Option for other pack size"
"selectCustomValue","Select a custom value","","Description for custom pack size"
"quantity","Quantity: ","","Label for quantity selector"
"packSizeHelp","This information helps us accurately calculate your consumption and the benefits of reducing or quitting smoking.","","Help text for pack size selection"
"packPriceQuestion","How much does a pack of cigarettes cost?","","Question about cigarette pack price"
"helpCalculateFinancial","This helps us calculate your financial savings","","Subtitle for pack price question"
"enterAveragePrice","Enter the average price you pay for a pack of cigarettes.","","Instruction for entering pack price"
"priceHelp","This information helps us show how much you'll save by reducing or quitting smoking.","","Help text for price input"
"productTypeQuestion","What type of product do you consume?","","Question about product type"
"selectApplicable","Select what applies to you","","Subtitle for product type question"
"helpPersonalizeStrategy","This helps us personalize strategies and recommendations for your specific case.","","Help text for product type selection"
"cigaretteOnly","Traditional cigarettes only","","Option for traditional cigarettes only"
"traditionalCigarettes","Conventional tobacco cigarettes","","Description for traditional cigarettes"
"vapeOnly","Vape/e-cigarettes only","","Option for vape/e-cigarettes only"
"electronicDevices","Electronic vaping devices","","Description for electronic vaping devices"
"both","Both","","Option for both traditional and electronic cigarettes"
"useBoth","I use both traditional and electronic cigarettes","","Description for using both types of products"
"productTypeHelp","Different products contain different amounts of nicotine and may require distinct strategies for reduction or cessation.","","Help text explaining importance of product type"
"pleaseSelectProductType","Please select a product type","","Error message when no product type is selected"
"goalQuestion","What is your goal?","","Question about user's goal"
"selectGoal","Select what you want to achieve","","Subtitle for goal question"
"goalExplanation","Setting a clear goal is essential for your success. We want to help you achieve what you desire.","","Explanation about importance of setting a goal"
"reduceConsumption","Reduce consumption","","Option to reduce smoking"
"reduceDescription","I want to smoke fewer cigarettes and have more control over the habit","","Description for reducing consumption"
"reduce","Reduce","","Label for reduce icon"
"quitSmoking","Quit smoking","","Option to quit smoking"
"quitDescription","I want to completely quit cigarettes and live tobacco-free","","Description for quitting smoking"
"quit","Quit","","Label for quit icon"
"goalHelp","We'll adapt our resources and recommendations based on your goal. You can modify it later if you change your mind.","","Help text for goal selection"
"pleaseSelectGoal","Please select a goal","","Error message when no goal is selected"
"timelineQuestionReduce","When do you want to reduce consumption?","","Question about timeline for reducing consumption"
"timelineQuestionQuit","When do you want to quit smoking?","","Question about timeline for quitting smoking"
"establishDeadline","Establish a deadline that seems achievable to you","","Subtitle for timeline question"
"timelineExplanation","A realistic timeline increases your chances of success. Choose a deadline that you're comfortable with.","","Explanation about setting a realistic timeline"
"sevenDays","7 days","","Option for 7-day timeline"
"sevenDaysDescription","I want quick results and I'm committed","","Description for 7-day timeline"
"fourteenDays","14 days","","Option for 14-day timeline"
"fourteenDaysDescription","A balanced timeframe for habit change","","Description for 14-day timeline"
"thirtyDays","30 days","","Option for 30-day timeline"
"thirtyDaysDescription","A month for gradual and sustainable change","","Description for 30-day timeline"
"noDeadline","No set deadline","","Option for no deadline"
"noDeadlineDescription","I prefer to go at my own pace","","Description for no deadline"
"timelineHelp","Don't worry if you don't achieve your goal exactly on schedule. Continuous progress is what matters.","","Help text for timeline selection"
"pleaseSelectTimeline","Please select a timeline","","Error message when no timeline is selected"
"challengeQuestion","What makes it difficult to {goalText} for you?","","Question about quitting challenge with goal text placeholder"
"identifyChallenge","Identifying your main challenge helps us provide better support","","Subtitle for challenge question"
"challengeExplanation","Understanding what makes cigarettes hard to quit is the first step in overcoming that obstacle.","","Explanation about importance of identifying challenges"
"stressAnxiety","Stress and anxiety","","Option for stress/anxiety challenge"
"stressDescription","I smoke to deal with stressful situations and anxiety","","Description for stress/anxiety challenge"
"habitStrength","Habit strength","","Option for habit strength challenge"
"habitDescription","Smoking is already part of my daily routine","","Description for habit strength challenge"
"socialInfluence","Social influence","","Option for social influence challenge"
"socialDescription","People around me smoke or encourage me to smoke","","Description for social influence challenge"
"physicalDependence","Physical dependence","","Option for physical dependence challenge"
"dependenceDescription","I experience physical symptoms when I go without smoking","","Description for physical dependence challenge"
"challengeHelp","Your answers help us personalize more effective tips and strategies for your specific case.","","Help text for challenge selection"
"pleaseSelectChallenge","Please select a challenge","","Error message when no challenge is selected"
"locationsQuestion","Where do you usually smoke?","","Question about smoking locations"
"selectCommonPlaces","Select the places where you most often smoke","","Subtitle for locations question"
"locationsExplanation","Knowing your usual locations helps us identify patterns and create specific strategies.","","Explanation about importance of identifying locations"
"atHome","At home","","Option for smoking at home"
"homeDetails","Balcony, living room, office","","Details for home location"
"atWork","At work/school","","Option for smoking at work/school"
"workDetails","During breaks or pauses","","Details for work location"
"inCar","In car/transport","","Option for smoking in car/transport"
"carDetails","During travel","","Details for car location"
"socialEvents","At social events","","Option for smoking at social events"
"socialDetails","Bars, parties, restaurants","","Details for social events location"
"outdoors","Outdoors","","Option for smoking outdoors"
"outdoorsDetails","Parks, sidewalks, outdoor areas","","Details for outdoor location"
"otherPlaces","Other places","","Option for other smoking locations"
"otherPlacesDetails","When I'm anxious, regardless of location","","Details for other locations"
"locationsHelp","Identifying the most common locations helps avoid triggers and create strategies for habit change.","","Help text for locations selection"
"continueButton","Continue","","Continue button text"
"allDone","All done!","","Title for completion screen"
"personalizedJourney","Your personalized journey begins now","","Subtitle for completion screen"
"startMyJourney","Start My Journey","","Button text to start journey"
"congratulations","Congratulations on taking the first step!","","Congratulatory text on completion screen"
"personalizedPlanReduce","We've created a personalized plan based on your answers to help you reduce consumption {timelineText}.","","Text explaining personalized plan for reducing consumption"
"personalizedPlanQuit","We've created a personalized plan based on your answers to help you quit smoking {timelineText}.","","Text explaining personalized plan for quitting smoking"
"yourPersonalizedSummary","Your personalized summary","","Title for personalized summary section"
"dailyConsumption","Daily consumption","","Label for daily consumption in summary"
"cigarettesPerDayValue","{count} cigarettes per day","","Value for cigarettes per day"
"potentialMonthlySavings","Potential monthly savings","","Label for potential monthly savings"
"yourGoal","Your goal","","Label for user's goal in summary"
"mainChallenge","Your main challenge","","Label for main challenge in summary"
"personalized","Personalized monitoring","","Title for personalized monitoring benefit"
"personalizedDescription","Track your progress based on your habits","","Description for personalized monitoring"
"importantAchievements","Important achievements","","Title for important achievements benefit"
"achievementsDescription","Celebrate each milestone in your journey","","Description for achievements benefit"
"supportWhenNeeded","Support when you need it","","Title for support benefit"
"supportDescription","Tips and strategies for difficult moments","","Description for support benefit"
"guaranteedResults","Guaranteed results","","Title for guaranteed results benefit"
"resultsDescription","With our science-based technology","","Description for guaranteed results"
"loadingError","Error completing: {error}","","Error message during completion"
"developer","Developer","","Developer section title"
"developerMode","Developer Mode","","Toggle option for developer mode"
"enableDebugging","Enable detailed debugging and tracking","","Description of developer mode"
"dashboard","Dashboard","","Dashboard screen title"
"viewDetailedTracking","View detailed tracking dashboard","","Description of dashboard option"
"currency","Currency","","Currency section title"
"changeCurrency","Change currency","","Option to change currency"
"setCurrencyForCalculations","Set the currency for savings calculations","","Description for currency option"
"search","Search","","Search field placeholder"
"noResults","No results found","","Message shown when search returns no results"
"listView","List View","","Toggle for list view display"
"gridView","Grid View","","Toggle for grid view display"
"atYourOwnPace","at your own pace","","Text for timeline at user's own pace"
"nextSevenDays","in the next 7 days","","Text for timeline of next 7 days"
"nextTwoWeeks","in the next 2 weeks","","Text for timeline of next 2 weeks"
"nextMonth","in the next month","","Text for timeline of next month"
"notSpecified","Not specified","","Text for unspecified or default value"
"registerCraving","Register Craving","","Button to register a new craving"
"registerCravingSubtitle","Track when you feel urges","","Subtitle for craving button"
"newRecord","New Record","","Button to register a new smoking record"
"newRecordSubtitle","Record when you smoke","","Subtitle for smoking record button"
"whereAreYou","Where are you?","","Question asking user's location when registering a craving"
"work","Work","","Location option: Work"
"car","Car","","Location option: Car"
"restaurant","Restaurant","","Location option: Restaurant"
"bar","Bar","","Location option: Bar"
"street","Street","","Location option: Street"
"park","Park","","Location option: Park"
"others","Others","","Location option: Others"
"notes","Notes (optional)","","Label for optional notes field"
"howAreYouFeeling","How are you feeling?","","Placeholder text for notes field in craving registration"
"whatTriggeredCraving","What triggered your craving?","","Question about what triggered the craving"
"stress","Stress","","Trigger option: Stress"
"boredom","Boredom","","Trigger option: Boredom"
"socialSituation","Social situation","","Trigger option: Social situation"
"afterMeal","After meal","","Trigger option: After meal"
"coffee","Coffee","","Trigger option: Coffee"
"alcohol","Alcohol","","Trigger option: Alcohol"
"craving","Craving","","Trigger option: Craving"
"other","Other","","Trigger option: Other"
"intensityLevel","Intensity level","","Label for craving intensity level selection"
"mild","Mild","","Intensity level: Mild"
"intense","Intense","","Intensity level: Intense"
"veryIntense","Very intense","","Intensity level: Very intense"
"pleaseSelectLocation","Please select your location","","Validation message for location selection"
"pleaseSelectTrigger","Please select what triggered your craving","","Validation message for trigger selection"
"pleaseSelectIntensity","Please select the intensity level","","Validation message for intensity selection"
"whatsTheReason","What's the reason?","","Question asking for the reason for smoking"
"anxiety","Anxiety","","Reason option: Anxiety"
"pleaseSelectReason","Please select a reason","","Validation message for reason selection"
"howDoYouFeel","How do you feel? What could you have done differently?","","Placeholder for notes field in smoking record"
"didYouResist","Did you resist?","","Question about whether user resisted the craving"
"yes","Yes","","Yes option"
"no","No","","No option"
"howMuchDidYouSmoke","How much did you smoke?","","Question about amount smoked"
"oneOrLess","1 or less","","Smoking amount option: 1 or less"
"twoToFive","2-5","","Smoking amount option: 2-5 cigarettes"
"moreThanFive","More than 5","","Smoking amount option: More than 5 cigarettes"
"pleaseSelectAmount","Please select how much you smoked","","Validation message for smoking amount selection"
"howLongDidItLast","How long did it last?","","Question about duration of smoking session"
"lessThan5min","Less than 5 min","","Duration option: Less than 5 minutes"
"fiveToFifteenMin","5-15 min","","Duration option: 5-15 minutes"
"moreThan15min","More than 15 min","","Duration option: More than 15 minutes"
"pleaseSelectDuration","Please select how long it lasted","","Validation message for duration selection"
"selectCurrency","Select your currency","","Title for currency selection screen"
"selectCurrencySubtitle","Choose the currency for financial calculations","","Subtitle for currency selection screen"
"preselectedCurrency","We've preselected your local currency. You can change it if necessary.","","Text explaining currency preselection"
"pleaseCompleteAllFields","Please complete all required fields to continue","","Message shown when user tries to proceed without completing required fields"
"understood","Understood","","Button text for dismissing alerts or notifications"
"commonPrices","Common pack prices","","Label for common cigarette pack prices section"
"refresh","Refresh","",""
"errorLoadingNotifications","Error loading notifications","",""
"noNotificationsYet","No notifications yet!","",""
"emptyNotificationsDescription","Continue using the app to receive motivational messages and achievements.","",""
"motivationalMessage","Motivational Message","",""
"claimReward","Claim {xp} XP","",""
"rewardClaimed","Reward claimed: {xp} XP","",""
"dailyMotivation","Daily Motivation","",""
"dailyMotivationDescription","Your personalized daily motivation is here. Open to get your XP reward!","",""
"retry","Retry","","Retry button text for failed operations"
"cravingResistedRecorded","Craving resisted successfully recorded!","","Success message when a resisted craving is recorded"
"cravingRecorded","Craving successfully recorded!","","Success message when a craving is recorded"
"errorSavingCraving","Error saving craving. Tap to retry.","","Error message when saving craving fails"
"recordSaved","Record successfully saved!","","Success message when a smoking record is saved"
"tapToRetry","Tap to retry","","Tooltip text for retry button"
"syncError","Sync error","","Tooltip text for sync error status"
"tryAgain","Try Again","","Button text to try an operation again"
"errorLoadingData","Error loading data","","Message shown when data loading fails"
"noRecoveriesFound","No health recoveries found","","Message shown when no health recoveries are found"
"noRecentRecoveries","No recent health recoveries to display","","Message shown when no recent health recoveries are available"
"viewAllRecoveries","View All Health Recoveries","","Button text to view all health recoveries"
"healthRecovery","Health Recovery","","Title for health recovery section"
"seeAll","See all","","Button text to see all items"
"achieved","Achieved","","Label for achieved status"
"progress","Progress","","Label for progress status"
"daysToAchieve","{days} days to achieve","","Text showing days required to achieve a recovery"
"daysRemaining","{days} days remaining","","Text showing days remaining to achieve a recovery"
"achievedOn","Achieved on {date}","","Text showing when a recovery was achieved"
"daysSmokeFree","{days} days smoke-free","","Text showing days without smoking"
"keepGoing","Keep Going!","","Encouragement message"
"encouragementMessage","You're making great progress. Each day without smoking brings you closer to achieving this health milestone.","","Detailed encouragement message"
"recoveryAchievedMessage","Your body has already recovered in this area. Keep up the good work to maintain and improve your health even further.","","Message shown when a health recovery is achieved"
"scienceBehindIt","The Science Behind It","","Title for science information section"
"generalHealthScienceInfo","When you stop smoking, your body begins a series of healing processes. These start within minutes of your last cigarette and continue for years, gradually restoring your health to that of a non-smoker.","","General scientific information about health recovery"
"tasteScienceInfo","When you smoke, chemicals in tobacco damage taste buds and reduce your ability to taste flavors. After just a few days without smoking, these taste receptors begin to heal, allowing you to experience more flavors and enjoy food more fully.","","Scientific information about taste recovery"
"smellScienceInfo","Smoking damages the olfactory nerves that transmit scent information to your brain. Within days of quitting, these nerves begin to recover, gradually improving your sense of smell and allowing you to detect more subtle scents.","","Scientific information about smell recovery"
"bloodOxygenScienceInfo","Carbon monoxide from cigarettes binds to hemoglobin in your blood, reducing its ability to carry oxygen. Within 12-24 hours after quitting, carbon monoxide levels drop dramatically, allowing your blood to carry oxygen more effectively.","","Scientific information about blood oxygen recovery"
"carbonMonoxideScienceInfo","Cigarette smoke contains carbon monoxide, which displaces oxygen in your blood. Within 12 hours of quitting, carbon monoxide levels return to normal, and your body's oxygen levels increase significantly.","","Scientific information about carbon monoxide elimination"
"nicotineScienceInfo","Nicotine has a half-life of about 2 hours, meaning it takes approximately 72 hours (3 days) for all nicotine to be eliminated from your body. Once nicotine is gone, physical withdrawal symptoms begin to decrease.","","Scientific information about nicotine expulsion"
"improvedBreathingScienceInfo","After 7 days without smoking, lung function begins to improve as inflammation decreases and the lungs start to clear accumulated mucus. You'll notice less coughing and easier breathing, especially during physical activity.","","Scientific information about improved breathing"
"improvedCirculationScienceInfo","After two weeks of not smoking, your circulation improves significantly. Blood vessels dilate, blood pressure normalizes, and more oxygen reaches your muscles and organs, making physical activity easier and less strenuous.","","Scientific information about improved circulation"
"decreasedCoughingScienceInfo","One month after quitting, the cilia (tiny hair-like structures) in your lungs begin to regrow. These help clean your lungs and reduce infections. Your coughing and shortness of breath continue to decrease.","","Scientific information about decreased coughing"
"lungCiliaScienceInfo","After 3 months without smoking, your lung function can improve by up to 30%. The cilia in your lungs have largely regrown, improving your lungs' ability to clean themselves, fight infection, and reduce mucus.","","Scientific information about lung cilia recovery"
"reducedHeartDiseaseRiskScienceInfo","After one year without smoking, your risk of coronary heart disease decreases to about half that of a smoker. Your heart function continues to improve as blood vessels heal and circulation enhances.","","Scientific information about reduced heart disease risk"
"viewHealthRecoveries","View Health Recoveries","","Button text to view health recoveries screen"
"recoveryNotFound","Health recovery not found","","Message shown when a health recovery is not found"
"trackYourHealthJourney","Track Your Health Journey","","Title for health recovery tracking feature"
"healthRecoveryDescription","See how your body heals after quitting smoking","","Description for health recovery tracking feature"
"somethingWentWrong","Something went wrong, please try again","","Generic error message when an operation fails"
"profileInformation","Profile Information","","Title for profile information section"
"editProfileDescription","Update your profile information below.","","Description for edit profile screen"
"enterName","Enter your name","","Placeholder for name input field"
"profileUpdatedSuccessfully","Profile updated successfully","","Success message when profile is updated"
"comingSoon","Coming Soon","","Text displayed for features that are not yet available"
"registerFirstCigarette","Register your first cigarette to see health recovery","","Message prompting users to register their first cigarette to see health recovery data"
"errorOccurred","An error occurred","","Generic error message displayed when an unknown error occurs"
"pageNotFound","Page not found","","Message shown when a page is not found"
"resetLinkSent","Reset link sent!","","Message shown when password reset link is sent"
"checkEmailInstructions","Check your email for instructions to reset your password.","","Instructions to check email after password reset request"
"backToLogin","Back to login","","Button text to go back to login screen"
"forgotPasswordInstructions","Enter your email address and we'll send you instructions to reset your password.","","Instructions on forgot password screen"
"sendResetLink","Send reset link","","Button text to send password reset link"
"createAccount","Create Account","","Title for registration screen"
"fillInformation","Fill in your information to create an account","","Subtitle for registration screen"
"name","Name","","Label for name field"
"nameRequired","Please enter your name","","Error message when name is empty"
"passwordTooShort","Password must be at least 6 characters","","Error message when password is too short"
"confirmPassword","Confirm Password","","Label for confirm password field"
"confirmPasswordRequired","Please confirm your password","","Error message when confirm password is empty"
"passwordsDoNotMatch","Passwords do not match","","Error message when passwords don't match"
"termsConditionsAgree","I agree to the Terms and Conditions","","Text for terms and conditions agreement checkbox"
"termsConditionsRequired","Please accept the Terms and Conditions to continue","","Error message when terms not accepted"
"alreadyAccount","Already have an account?","","Text for users who already have an account"
"currentPassword","Current Password","",""
"newPassword","New Password","",""
"changePasswordDescription","Enter your current password and a new password to update your access credentials.","",""
"passwordChangedSuccessfully","Password changed successfully","",""
"forgotPasswordTitle","Forgot your password?","",""
"forgotPasswordSubtitle","We can send you a link to reset your password via email.","",""
"deleteAccountWarningTitle","This Action Cannot Be Undone","",""
"deleteAccountWarning","All your data, including tracking history, achievements, and settings will be permanently deleted. This action cannot be reversed.","",""
"confirmDeleteAccount","I understand this is permanent","",""
"confirmDeleteAccountSubtitle","I understand that all my data will be permanently deleted and cannot be recovered.","",""
"confirmDeleteRequired","Please confirm that you understand this action is permanent.","",""
"accountDeleted","Your account has been deleted successfully.","",""
"changeDate","Change date","",""
"selectDate","Select date","",""
"clearDate","Clear date","",""
"suggestedDates","Suggested dates","",""
"today","Today","",""
"yesterday","Yesterday","",""
"oneWeekAgo","One week ago","",""
"twoWeeksAgo","Two weeks ago","",""
"oneMonthAgo","One month ago","",""
"feedbackTitle","We value your feedback","",""
"skip","Skip","",""
"howIsYourExperience","How's your experience?","",""
"enjoyingApp","Are you enjoying the app?","",""
"notReally","Not really","",""
"yesImEnjoying","Yes, I'm enjoying it!","",""
"yesILikeIt","Yes, I like it!","",""
"rateApp","How would you rate the app?","",""
"howWouldYouRateApp","How would you rate our app?","",""
"yourOpinionMatters","Your opinion matters to us","",""
"weAreConstantlyImproving","We are constantly improving our app based on user feedback","",""
"later","Later","",""
"tellUsIssues","Tell us what's not good","",""
"helpUsImprove","Help us improve by telling us what we can do better:","",""
"feedbackCategory","Feedback category","",""
"interface","Interface","",""
"features","Features","",""
"performance","Performance","",""
"statisticsAccuracy","Statistics Accuracy","",""
"accuracyOfStatistics","Accuracy of statistics","",""
"yourFeedback","Your feedback","",""
"describeProblem","Describe what we can improve...","",""
"describeWhatToImprove","Describe what we could improve...","",""
"whatCouldBeBetter","What could be better?","",""
"sendFeedback","Send feedback","",""
"thankYouForFeedback","We appreciate your feedback!","",""
"gladYouLikeIt","We're glad you like it!","",""
"wouldYouRateOnStore","Would you rate us on the app store?","",""
"rateAppStore","Would you like to rate the app in the store?","",""
"alreadyRated","I already rated","",""
"rateNow","Rate now","",""
"feedbackError","Oops, something went wrong","",""
"couldNotSaveFeedback","Could not save your feedback","",""
"understand","I understand","",""
"stayInformed","Stay Informed","",""
"receiveTimelyCues","Receive timely cues and important information","",""
"importantReminders","IMPORTANT REMINDERS FOR YOUR JOURNEY","",""
